community district,mean refuse collected (tons) (1990-2024),district bin count,mean refuse per month (bin) (tons)
1,4901.374,438,11.1903516
2,2416.058,761,3.174846255
3,4296.678,572,7.511674825
4,3231.366,321,10.06656075
5,4638.532,309,15.01143042
6,2515.058,532,4.727552632
7,3359.82,348,9.654655172
8,2858.498,326,8.768398773
9,3199.833,325,9.84564
10,3340.482,454,7.357889868
11,4956.458,299,16.57678261
12,5802.657,303,19.15068317
13,2233.909,244,9.155364754
14,4973.993,286,17.39158392
15,4755.918,346,13.74542775
16,2187.414,265,8.254392453
17,4733.117,357,13.25803081
18,5549.393,198,28.02723737
